maintenance_id,plant_id,maintenance_type,issue_severity,maintenance_cost,downtime_hours,maintenance_date
13070,134,Replacement,Medium,15508.52,13.27,2024-09-07
13071,74,Inspection,High,81763.94,49.38,2024-01-19
13072,53,Replacement,High,62483.06,25.69,2024-11-11
13073,11,Inspection,Low,61672.28,31.71,2023-09-24
13074,86,Replacement,Medium,81716.67,63.3,2024-09-06
13075,138,Repair,Low,25823.02,24.5,2023-07-25
13076,94,Replacement,Medium,98588.79,71.95,2023-09-21
13077,3,Inspection,Critical,53855.09,63.32,2024-05-30
13078,160,Repair,High,50889.68,52.91,2023-09-23
13079,33,Calibration,Medium,89429.64,30.29,2024-02-06
13080,108,Replacement,Low,29422.72,19.92,2024-04-07
13081,115,Calibration,Critical,42023.77,17.31,2024-10-09
13082,105,Calibration,Critical,11439.8,17.66,2023-07-12
13083,159,Replacement,Low,78415.46,7.1,2023-09-03
13084,192,Replacement,Low,5268.26,62.98,2023-09-19
13085,165,Replacement,High,61015.25,45.16,2023-07-23
13086,82,Replacement,Critical,93206.48,2.03,2023-04-09
13087,152,Calibration,Critical,77809.17,2.11,2024-10-20
13088,67,Calibration,Low,21998.09,49.29,2024-06-30
13089,15,Replacement,Critical,61348.85,59.08,2024-12-13
13090,120,Repair,Low,12498.41,64.14,2023-03-17
13091,155,Replacement,Medium,79764.57,26.01,2023-12-16
13092,40,Inspection,Medium,78493.16,18.89,2024-10-02
13093,121,Replacement,Medium,4263.83,59.89,2024-01-23
13094,174,Repair,Low,54913.24,15.6,2024-08-18
13095,16,Replacement,Low,83473.72,68.65,2023-10-09
13096,187,Inspection,Critical,76207.1,57.77,2023-10-24
13097,123,Replacement,Critical,14888.71,13.28,2023-12-05
13098,99,Repair,Low,1135.76,63.07,2024-11-10
13099,140,Calibration,High,95113.16,43.53,2023-04-21
13100,125,Repair,Critical,62589.32,60.64,2023-10-07
13101,191,Replacement,Critical,47135.32,49.72,2024-03-03
13102,91,Calibration,Critical,33297,37,2024-01-03
13103,34,Inspection,Low,88736.38,35.53,2024-10-31
13104,125,Inspection,Low,36064.22,37.9,2024-12-09
13105,170,Calibration,Low,64565.62,27.56,2024-03-16
13106,199,Calibration,Low,37308.49,61.59,2023-07-10
13107,32,Replacement,High,22351.79,5.21,2023-03-04
13108,150,Repair,Critical,14964,36.91,2024-06-18
13109,112,Replacement,Critical,77247.33,34.01,2024-06-28
13110,126,Replacement,Critical,76263.12,60.32,2024-11-06
13111,58,Replacement,High,89422.02,28.51,2023-03-04
13112,97,Repair,Critical,53592.85,40.96,2023-02-19
13113,60,Inspection,Low,9181.44,69.55,2023-11-22
13114,156,Calibration,Medium,49579.66,23.24,2024-11-15
13115,59,Inspection,Low,2468.02,63.78,2023-06-16
13116,170,Inspection,High,76905.36,24.12,2024-07-25
13117,100,Calibration,Medium,87723.36,58.47,2024-01-09
13118,168,Replacement,Medium,86699.53,10.77,2024-02-16
13119,4,Inspection,High,27391.71,64.32,2023-12-05
13120,29,Replacement,Low,96667.93,47.69,2023-07-22
13121,85,Replacement,Critical,15649.34,65.04,2024-11-14
13122,59,Repair,Medium,50118.49,71.26,2023-03-21
13123,102,Calibration,Critical,72224.63,19.27,2024-05-11
13124,21,Replacement,Medium,66894.33,28.17,2023-11-28
13125,200,Replacement,Medium,16560.48,65.49,2023-10-28
13126,200,Calibration,Medium,53726.09,46.65,2024-11-20
13127,134,Repair,Medium,6433.47,43.43,2023-03-28
13128,100,Repair,Critical,87745.77,11.33,2024-05-08
13129,28,Inspection,Medium,88120.47,26.1,2024-05-26
13130,39,Repair,High,10459.35,17.59,2023-10-06
13131,162,Inspection,Critical,47104.07,44.61,2023-03-18
13132,38,Replacement,Low,84493.66,59.87,2023-04-17
13133,7,Calibration,Medium,46426.37,58.03,2023-10-12
13134,92,Calibration,Medium,5785.42,19.03,2023-08-16
13135,50,Inspection,High,32018.83,17.43,2024-07-24
13136,82,Inspection,Medium,29115.07,59.71,2024-07-07
13137,170,Inspection,Low,89080.51,43.33,2023-05-03
13138,27,Inspection,Low,43047.03,13.87,2024-11-12
13139,23,Replacement,High,77331.04,70.72,2024-01-20
13140,102,Repair,High,47070.5,14.09,2023-02-21
13141,101,Calibration,High,27692.99,21.18,2024-06-21
13142,140,Repair,High,44360.42,26.42,2024-08-20
13143,193,Calibration,Critical,81021.9,33.5,2023-10-29
13144,58,Repair,Medium,24389.75,45.68,2023-08-02
13145,175,Repair,Medium,95242.86,29.86,2023-07-05
13146,8,Calibration,High,23560.83,70.97,2023-06-23
13147,138,Repair,Medium,25025.97,27.35,2023-05-26
13148,152,Inspection,Critical,53254.89,35.55,2023-11-16
13149,29,Repair,Medium,11612.41,27.09,2024-10-12
13150,63,Calibration,Medium,25693.13,57.07,2024-08-26
13151,112,Inspection,High,48165.81,36.1,2023-09-03
13152,66,Calibration,Medium,31223.39,70.08,2024-11-02
13153,184,Replacement,High,88222.34,35.08,2023-03-30
13154,132,Calibration,Medium,82599.68,59.48,2023-01-17
13155,32,Calibration,High,34334.02,49.62,2023-05-25
13156,22,Calibration,Low,11442.99,1.71,2024-02-15
13157,140,Repair,Critical,55222.23,67.02,2023-11-01
13158,13,Inspection,Critical,83524.1,56.04,2023-05-10
13159,121,Inspection,High,39269.13,44.5,2024-05-04
13160,15,Inspection,Medium,48475.57,21.11,2024-06-29
13161,78,Replacement,High,22063.72,33.49,2024-01-31
13162,187,Calibration,Critical,7450.35,45.02,2023-02-13
13163,98,Repair,Critical,40111.96,51.55,2023-02-28
13164,48,Repair,Medium,18019.22,46.64,2023-05-05
13165,101,Inspection,Medium,53856.27,62.06,2024-01-09
13166,104,Replacement,High,80957.52,53.4,2024-08-31
13167,52,Replacement,High,97413.06,8.12,2023-11-05
13168,178,Inspection,High,60660.9,18.89,2023-02-26
13169,60,Repair,Critical,89233.74,5.3,2024-07-24
13170,178,Repair,Critical,58833.66,58.42,2023-03-07
13171,19,Calibration,High,71946.98,18.49,2024-05-03
13172,176,Calibration,High,38888.47,27.68,2023-04-23
13173,167,Calibration,Medium,31931.18,13.81,2023-09-25
13174,17,Repair,Medium,20030.83,11.56,2023-07-23
13175,73,Inspection,Medium,65046.35,24.63,2024-10-31
13176,64,Replacement,Low,42571.86,63.99,2023-08-21
13177,103,Inspection,Medium,68406.91,2.18,2023-04-14
13178,79,Calibration,Critical,34801.29,7.72,2023-12-07
13179,159,Calibration,Medium,53867.93,16.43,2023-06-05
13180,77,Inspection,High,23352.4,57.12,2023-01-26
13181,78,Calibration,Low,99785.24,48.9,2023-01-19
13182,189,Replacement,Medium,15831.47,5.59,2023-02-11
13183,107,Calibration,High,65532.5,62.12,2023-02-26
13184,59,Replacement,Medium,64076.93,67.83,2024-12-09
13185,80,Inspection,Medium,86596.22,29.11,2024-09-07
13186,171,Repair,Critical,16901.4,66.24,2023-02-16
13187,27,Repair,Medium,74100.03,33.52,2024-01-05
13188,188,Repair,Medium,69074.84,53.87,2023-10-16
13189,183,Repair,Medium,61172.75,57.98,2023-05-08
13190,93,Replacement,Critical,96836.29,52.64,2024-04-06
13191,22,Replacement,High,47720.2,14.51,2024-06-25
13192,107,Calibration,Critical,5337.86,33.06,2024-04-20
13193,190,Calibration,Medium,74657.11,57.51,2023-02-24
13194,82,Replacement,High,20560.25,39.13,2024-02-04
13195,54,Repair,Medium,13381.87,1.61,2023-04-30
13196,28,Replacement,Low,74250.66,69.03,2024-01-03
13197,84,Inspection,High,90767.64,16.75,2023-05-10
13198,66,Replacement,Medium,46763.43,14.68,2024-10-03
13199,121,Inspection,Medium,75062.86,21.76,2024-11-25
13200,33,Repair,Critical,84632.13,42.9,2023-12-28
13201,198,Inspection,Low,13176.21,16.81,2023-09-23
13202,195,Replacement,Critical,8757.38,67.43,2024-11-20
13203,121,Repair,High,11859.45,40.14,2023-10-30
13204,130,Repair,Medium,68894.46,68.76,2024-05-06
13205,196,Calibration,Medium,11890.02,53.72,2024-01-19
13206,91,Calibration,High,39298.47,46.33,2023-12-19
13207,191,Replacement,Critical,75758.52,2.79,2023-02-14
13208,19,Calibration,Critical,98198.52,55.38,2023-12-12
13209,135,Repair,Critical,44352.52,27.3,2023-10-29
13210,116,Inspection,Critical,54702.34,34.49,2023-01-06
13211,138,Repair,Critical,51251.77,7.82,2023-10-05
13212,144,Inspection,High,18702.98,48.77,2024-07-06
13213,108,Calibration,Critical,96515.51,5.96,2023-09-11
13214,49,Calibration,Critical,36093.84,35.22,2024-10-19
13215,55,Repair,High,61849.7,27.79,2023-05-30
13216,18,Inspection,Low,7498.49,28.43,2023-04-24
13217,26,Calibration,Low,34943.22,44.94,2024-09-09
13218,82,Inspection,Low,9317.47,21.49,2023-07-01
13219,182,Repair,Critical,79445.87,19.65,2023-07-20
13220,176,Repair,High,92562.11,48.66,2024-06-24
13221,171,Calibration,Low,11539.48,14.48,2024-10-24
13222,89,Inspection,Critical,90571.72,37.63,2023-09-29
13223,94,Inspection,Low,95872.05,5.14,2024-07-30
13224,164,Calibration,Critical,58320.91,16.28,2023-03-06
13225,176,Replacement,Low,969.95,63,2024-06-11
13226,193,Replacement,High,95216.02,56.49,2023-05-24
13227,117,Repair,Medium,73135.04,66.03,2023-10-04
13228,78,Calibration,High,91985.06,6.9,2024-12-14
13229,46,Repair,Critical,81250.18,48.75,2023-11-28
13230,200,Replacement,Critical,28688.3,63.84,2023-03-07
13231,154,Inspection,Medium,14778.02,26.7,2023-02-19
13232,171,Repair,Medium,10073.55,54.25,2023-10-25
13233,82,Replacement,Critical,94084.46,63.6,2024-01-26
13234,195,Inspection,High,54059.11,8.88,2024-06-07
13235,159,Replacement,Low,31465.68,42.76,2024-08-01
13236,184,Replacement,High,62756.81,20.36,2023-07-24
13237,15,Inspection,Low,20198.21,33.87,2024-04-12
13238,64,Inspection,Medium,45569.17,44.43,2023-09-23
13239,198,Repair,High,38545.97,54.95,2024-06-13
13240,99,Inspection,Medium,1074.9,43.66,2023-01-09
13241,132,Repair,Critical,59800.59,9.39,2024-08-27
13242,16,Calibration,High,22342.75,60.66,2024-03-06
13243,55,Inspection,Critical,62390.76,13.41,2024-11-16
13244,19,Calibration,High,69443.74,25.41,2024-09-09
13245,151,Inspection,Low,84374.72,32.54,2023-07-03
13246,193,Repair,Critical,27295.62,13.34,2023-02-13
13247,21,Inspection,Low,30117.49,13.14,2024-08-27
13248,167,Calibration,Low,63540.86,7.9,2024-05-24
13249,115,Inspection,Medium,38740.81,12.39,2023-12-08
13250,52,Inspection,Low,92743.35,49.96,2023-05-28
13251,1,Replacement,Critical,46702.01,25.9,2024-07-23
13252,178,Replacement,Critical,61451.53,56.66,2024-02-26
13253,189,Inspection,Low,60729.45,6.3,2023-02-27
13254,76,Calibration,Low,72022.44,70.44,2023-12-03
13255,149,Inspection,Medium,1608.94,17.27,2023-03-22
13256,148,Repair,Medium,63610.96,64.15,2024-06-25
13257,48,Replacement,Critical,21018.2,58.96,2024-09-09
13258,34,Replacement,Medium,29900.25,69.01,2024-05-06
13259,151,Calibration,Medium,46820.29,24.01,2024-05-27
13260,7,Repair,Medium,41329.46,59.27,2023-10-27
13261,15,Repair,Medium,39654.29,14.19,2024-10-22
13262,99,Inspection,Low,14219.55,54.7,2023-04-25
13263,186,Repair,Low,56546.42,14.38,2023-04-27
13264,125,Replacement,Critical,34181.55,56.83,2023-10-03
13265,34,Repair,High,69658.98,53.97,2024-11-02
13266,108,Repair,Low,26274.9,11.77,2023-09-05
13267,117,Inspection,Critical,23637.37,48.01,2024-01-24
13268,115,Repair,Low,21028.06,17.28,2023-06-07
13269,119,Inspection,Critical,88916.87,32.12,2024-02-06
13270,68,Repair,Low,12967.99,1.83,2023-07-13
13271,62,Replacement,Critical,9057.6,49.84,2023-03-20
13272,149,Repair,Medium,68365.94,58.56,2024-05-24
13273,110,Repair,Low,32701.65,33.31,2023-07-26
13274,44,Inspection,Medium,24380.03,26.42,2024-06-20
13275,77,Repair,High,67199.49,9.09,2023-12-11
13276,111,Repair,High,4446.82,41.83,2023-12-29
13277,110,Replacement,Low,41370.71,70.77,2023-01-10
13278,149,Inspection,Low,50267.32,48.58,2023-02-05
13279,156,Calibration,Medium,24313.26,50.68,2024-06-11
13280,157,Calibration,Critical,35373.06,1.16,2024-08-27
13281,140,Inspection,Medium,11278.06,3.99,2023-06-03
13282,142,Repair,Medium,89804.32,31.26,2023-03-31
13283,168,Replacement,Low,9264.81,36.51,2023-10-05
13284,109,Calibration,High,47005.84,65.86,2024-06-15
13285,9,Calibration,High,22287.94,60.25,2023-03-17
13286,173,Replacement,Medium,69806.24,14.92,2023-11-14
13287,23,Inspection,High,99816.96,47.7,2023-01-22
13288,53,Replacement,Critical,64210.51,23.29,2023-11-14
13289,68,Repair,Low,33374.16,19.58,2023-07-25
13290,145,Repair,Medium,30624.83,2.92,2023-11-20
13291,10,Calibration,Medium,90456.58,10.67,2024-10-08
13292,30,Calibration,High,27389.17,36.76,2023-07-17
13293,183,Inspection,Critical,51262.84,33.69,2024-06-22
13294,110,Inspection,Low,43821.44,19.43,2024-08-15
13295,133,Replacement,Critical,55652.9,5.26,2023-10-13
13296,117,Repair,Medium,764.1,38.79,2023-04-16
13297,57,Inspection,Critical,40266.47,46.31,2024-01-17
13298,90,Replacement,High,81743.83,38.99,2023-03-26
13299,69,Inspection,Low,690.56,11.64,2024-03-29
13300,14,Replacement,Medium,98697.9,48.34,2023-02-22
13301,1,Repair,Critical,56482.81,51.96,2023-03-09
13302,127,Inspection,Medium,84673.7,31.77,2024-12-21
13303,67,Calibration,Medium,94712.84,46.93,2023-07-03
13304,53,Calibration,Low,60359.97,26.88,2023-07-12
13305,63,Replacement,Critical,95632.34,3.44,2023-03-21
13306,4,Repair,Low,26027.02,8.76,2023-03-02
13307,169,Repair,Medium,17028.42,50.39,2023-05-16
13308,58,Inspection,Critical,51131.26,11.06,2024-09-25
13309,188,Repair,Critical,23065.43,2.56,2024-09-03
13310,120,Repair,High,89662.57,4.6,2024-08-19
13311,164,Inspection,Critical,33536.27,32.02,2023-01-29
13312,192,Replacement,Critical,10016.68,61.77,2023-03-07
13313,78,Calibration,High,42467.87,29.92,2023-06-12
13314,46,Replacement,Medium,58727.81,28.6,2024-01-07
13315,166,Replacement,Critical,64318.04,65.6,2023-05-06
13316,7,Inspection,High,44830.58,16.24,2024-11-20
13317,148,Replacement,Medium,60483.55,71.35,2023-11-24
13318,14,Repair,High,31321.23,2.66,2023-08-17
13319,188,Repair,Critical,30180.14,21.34,2024-06-06
13320,74,Replacement,Low,36704.78,2.39,2024-08-22
13321,89,Calibration,Medium,95941.5,52.17,2024-06-10
13322,184,Repair,Medium,83708.18,9.52,2024-08-06
13323,73,Replacement,Medium,52274.64,27.5,2024-07-11
13324,39,Calibration,Critical,51205.77,9.79,2023-01-06
13325,81,Calibration,Critical,30956.92,8.73,2024-02-15
13326,154,Calibration,Medium,27376.7,45.26,2024-08-08
13327,94,Calibration,Low,48283.91,58.64,2023-01-16
13328,89,Inspection,Low,63903.79,70.49,2023-04-01
13329,152,Repair,High,3633.45,57.45,2024-09-16
13330,58,Replacement,Critical,19580.19,44.11,2024-10-19
13331,27,Repair,Low,17354.03,70.22,2023-01-16
13332,171,Calibration,Medium,10641.92,27.88,2023-08-10
13333,171,Calibration,High,10063.23,15.53,2023-10-15
13334,20,Replacement,Low,92510.76,11.42,2024-09-06
13335,66,Repair,Medium,18069.59,30.32,2023-02-12
13336,60,Repair,Critical,68620.54,46.23,2024-08-30
13337,81,Repair,Low,66579.48,37.2,2024-07-16
13338,193,Calibration,Critical,56210.86,47.39,2023-08-16
13339,160,Inspection,Critical,99198.48,24.57,2023-12-16
13340,133,Calibration,Medium,21105.61,55.52,2024-03-20
13341,180,Repair,Critical,65955.9,30.73,2024-12-12
13342,79,Repair,Medium,76244.53,52.07,2024-12-10
13343,132,Repair,Medium,20786.15,10.71,2024-11-24
13344,190,Repair,Critical,75979.12,10.41,2023-12-19
13345,96,Repair,High,95900.89,3.12,2023-07-20
13346,132,Inspection,Low,36115.06,31.69,2023-11-08
13347,111,Calibration,Low,90639.92,2.89,2024-02-19
13348,32,Repair,Critical,1348.56,1.8,2023-02-17
13349,145,Calibration,Medium,62817.9,54.9,2024-04-18
13350,74,Repair,Medium,88447.7,11.23,2024-10-01
13351,148,Replacement,High,82890.8,37.83,2023-01-29
13352,118,Repair,High,22294.04,66.5,2023-01-29
13353,130,Calibration,High,49084.92,58.54,2024-11-20
13354,180,Repair,High,46596.54,17.32,2024-01-16
13355,68,Replacement,High,16941.3,24.86,2023-09-27
13356,56,Repair,Critical,23945.79,30.29,2024-04-29
13357,169,Inspection,High,62674.52,41.79,2024-09-28
13358,11,Replacement,Low,39120.82,40.88,2023-12-18
13359,89,Inspection,Low,55001.79,63.34,2024-03-02
13360,63,Replacement,High,64203.93,63.18,2023-10-09
13361,27,Calibration,Medium,74455.92,6.95,2024-07-06
13362,71,Repair,Medium,50609.98,25.3,2024-09-21
13363,24,Replacement,Critical,81363.13,67.41,2023-03-17
13364,140,Replacement,High,37750.41,28.37,2024-04-06
13365,12,Repair,High,91326,18.22,2023-11-13
13366,109,Repair,High,24645.89,51.49,2024-07-20
13367,37,Inspection,Medium,66896.39,9.46,2023-05-14
13368,87,Inspection,Medium,10821.46,29.71,2023-10-03
13369,116,Inspection,Critical,82941.7,62.08,2024-01-10
13370,44,Repair,Medium,46761.02,38.62,2024-04-12
13371,27,Repair,Medium,18550.71,63.09,2023-08-21
13372,139,Repair,Low,33815.09,28.52,2023-11-02
13373,13,Inspection,Medium,48669.42,46.05,2023-03-15
13374,131,Calibration,Low,19442.6,14.25,2024-11-10
13375,34,Inspection,Critical,4989.98,50.27,2024-08-17
13376,16,Replacement,Medium,12714.25,38.45,2024-11-05
13377,56,Inspection,Low,22779.62,19.29,2024-12-07
13378,172,Repair,Low,23741.34,39.78,2024-05-07
13379,174,Inspection,High,60382.73,11.01,2023-12-25
13380,25,Replacement,Medium,45882.89,25.7,2024-10-15
13381,80,Calibration,Low,53667.34,20.03,2023-02-04
13382,45,Inspection,High,99644.89,32.13,2023-04-23
13383,147,Replacement,Critical,30997.73,27.59,2024-10-17
13384,86,Repair,Low,70265.56,51.16,2024-06-04
13385,130,Repair,Critical,64362.98,57.66,2024-01-28
13386,168,Inspection,Critical,29657.76,71.01,2024-08-02
13387,37,Calibration,Critical,43336.76,53.45,2024-10-14
13388,153,Calibration,Medium,23572.76,50.42,2023-02-12
13389,158,Repair,Critical,8277.54,3.76,2024-05-24
13390,34,Repair,High,22581.75,40.46,2024-02-13
13391,92,Calibration,Critical,72858.87,52.64,2023-11-14
13392,67,Calibration,Critical,49189.93,20.52,2023-05-10
13393,116,Repair,High,19299.65,13.47,2023-07-23
13394,106,Repair,High,7407.38,71.17,2023-11-04
13395,146,Inspection,High,52018.03,31.49,2024-08-11
13396,170,Inspection,High,60336.89,28.23,2023-01-21
13397,76,Calibration,Critical,39088.71,36.76,2024-09-08
13398,113,Calibration,High,19334.9,39.49,2023-06-27
13399,76,Repair,High,40350.8,5.71,2024-09-27
13400,4,Inspection,High,59752.61,23.74,2023-05-21
13401,76,Repair,Critical,17674.28,30.96,2023-03-04
13402,171,Calibration,Low,19763.27,63.71,2023-08-03
13403,158,Inspection,Low,80351.73,14.23,2024-01-24
13404,8,Repair,Medium,17108.96,66.45,2023-01-03
13405,93,Calibration,Low,76789.5,68.46,2023-05-10
13406,79,Calibration,Medium,14563.75,31.44,2023-06-19
13407,50,Repair,Low,24657.34,6.42,2024-06-28
13408,59,Replacement,High,86783.65,7.06,2024-03-23
13409,2,Replacement,High,11488.83,56.57,2023-09-24
13410,155,Calibration,Critical,92923.46,63.77,2024-08-06
13411,24,Calibration,Low,53676.05,64.78,2023-01-06
13412,194,Repair,High,57314.44,3.33,2023-08-11
13413,53,Repair,High,7403.72,51.98,2024-04-18
13414,113,Calibration,Critical,78487.06,33.6,2023-08-15
13415,48,Calibration,Medium,24736.68,37.73,2024-02-06
13416,135,Replacement,Low,26235.25,12.37,2023-11-24
13417,160,Inspection,High,22396.41,10.37,2023-01-12
13418,142,Replacement,Medium,24334.86,43.45,2024-03-31
13419,54,Replacement,Low,7784.72,9.51,2023-08-21
13420,190,Replacement,Low,16018.61,52.27,2024-09-01
13421,4,Calibration,Low,77666.77,37.04,2024-11-22
13422,61,Calibration,Medium,20940.17,36.2,2024-10-19
13423,55,Repair,Critical,26159,40.19,2024-12-16
13424,144,Repair,Low,28288.68,13.44,2023-03-11
13425,4,Repair,Critical,74295.95,30.03,2024-03-05
13426,67,Repair,High,26438.67,18.72,2024-02-21
13427,83,Repair,Low,3655.01,9.1,2023-02-25
13428,58,Repair,Low,22677.65,69.94,2023-02-07
13429,142,Inspection,High,91206.92,51.98,2024-08-18
13430,158,Replacement,Medium,54301.44,17.59,2023-07-04
13431,59,Repair,Medium,97954.01,69.35,2023-02-20
13432,109,Replacement,High,11387.6,23.25,2024-06-14
13433,192,Calibration,Medium,30704.67,42.67,2023-03-26
13434,102,Calibration,Medium,49334.53,47.89,2024-08-21
13435,133,Inspection,High,89621.53,12.83,2024-05-08
13436,34,Replacement,Critical,16863.18,41.81,2024-03-28
13437,123,Calibration,Low,32369.87,51.45,2024-05-26
13438,7,Calibration,High,46445.69,66,2024-11-13
13439,154,Replacement,Medium,5881.54,2.25,2023-07-31
13440,97,Repair,Low,22458.17,16.84,2024-08-17
13441,27,Inspection,Critical,68574.1,32.83,2023-10-20
13442,62,Calibration,Low,66078.26,67.87,2023-06-06
13443,175,Calibration,Low,10676.98,67.14,2024-12-31
13444,193,Replacement,Critical,74810.11,21.22,2024-03-15
13445,114,Inspection,High,90174.36,40.38,2024-10-18
13446,132,Repair,Medium,34675.63,65.51,2023-12-30
13447,124,Repair,Medium,75610.16,16.77,2023-08-28
13448,47,Inspection,Low,56476.08,36.2,2024-08-15
13449,125,Repair,Low,32593.82,27.27,2024-05-11
13450,113,Inspection,Critical,79986.63,27.69,2024-02-12
13451,184,Calibration,Medium,74409.84,9.46,2023-08-17
13452,103,Calibration,Low,54422.12,45.12,2023-07-08
13453,50,Repair,High,15150.62,70.68,2024-09-17
13454,140,Calibration,Low,73796.56,61.78,2023-11-13
13455,113,Repair,Medium,43954.66,20.75,2024-06-08
13456,36,Calibration,High,8470.06,54.53,2024-05-17
13457,166,Inspection,High,74245.48,58.81,2024-08-23
13458,146,Replacement,High,25432.99,51.23,2023-09-04
13459,152,Inspection,High,41088.69,17.87,2024-03-24
13460,114,Calibration,Medium,29479.72,69.01,2024-12-16
13461,119,Inspection,Low,28806.01,18.94,2024-12-28
13462,31,Calibration,Low,22675.96,60.12,2024-05-29
13463,88,Calibration,High,42122.06,15.74,2023-11-18
13464,131,Replacement,High,55974,23.47,2024-12-19
13465,10,Repair,High,60919.04,12.47,2024-01-01
13466,110,Inspection,High,34938.22,13.47,2023-09-05
13467,62,Calibration,High,21436.83,13.14,2024-08-13
13468,134,Replacement,Critical,27867.96,6.1,2024-09-23
13469,200,Inspection,High,78965.61,64.3,2023-08-14
13470,5,Repair,High,88662.18,55.9,2023-02-19
13471,77,Replacement,High,8712.65,23.56,2024-07-25
13472,105,Inspection,Low,24049.08,48.29,2023-06-11
13473,163,Calibration,Critical,92397.91,11.7,2023-06-24
13474,23,Calibration,High,16793.54,57.54,2023-09-11
13475,49,Calibration,Low,60794.06,61.15,2024-05-19
13476,72,Repair,Low,59498.21,27.29,2024-04-09
13477,123,Calibration,Medium,66482.96,47.77,2023-08-28
13478,156,Replacement,Medium,97038.69,23.54,2023-12-01
13479,6,Calibration,Critical,75297.43,32.38,2024-01-22
13480,108,Calibration,Low,30976.34,34.8,2023-05-06
13481,76,Repair,Low,77933.07,50.1,2023-07-19
13482,146,Repair,Low,41290.61,70.27,2023-02-04
13483,10,Repair,Critical,84841.94,47.09,2024-05-17
13484,132,Calibration,Critical,65282.3,39.99,2024-09-09
13485,157,Repair,Critical,55118.1,38.44,2023-06-17
13486,136,Repair,Critical,58110.57,61.79,2023-12-19
13487,35,Replacement,Medium,46452.9,40.5,2023-06-21
13488,61,Repair,Low,90286.45,41.15,2024-11-26
13489,105,Replacement,High,18362.02,23.48,2023-03-07
13490,31,Calibration,Critical,52586.17,46.74,2024-02-01
13491,101,Replacement,Low,2005.02,55.33,2024-12-21
13492,148,Repair,Critical,33201.63,53.94,2024-06-19
13493,147,Replacement,Critical,72243.11,18.92,2023-07-27
13494,102,Inspection,Medium,32792.54,35.36,2023-08-06
13495,177,Repair,High,53339.5,71.65,2023-01-14
13496,36,Inspection,Medium,41212.86,69.92,2024-04-23
13497,92,Repair,Critical,57511.94,20.32,2024-02-23
13498,89,Inspection,Medium,92177.29,64.97,2023-06-25
13499,22,Inspection,Critical,90805.02,67.74,2024-02-26
13500,194,Repair,High,29386.76,69.06,2024-06-16
13501,35,Inspection,Low,34805.23,27.71,2023-03-16
13502,27,Replacement,Critical,90071.97,14.04,2024-02-13
13503,47,Replacement,Medium,4299.1,2.38,2023-08-19
13504,143,Repair,Critical,40003.73,31.25,2024-06-09
13505,37,Calibration,Medium,5129.85,20.82,2024-06-04
13506,192,Repair,High,24176.77,68.93,2024-01-16
13507,60,Repair,Low,73235.05,68.44,2023-11-18
13508,122,Inspection,Low,42226.65,58.89,2024-12-15
13509,135,Inspection,Low,88097.95,11.02,2023-02-13
13510,176,Inspection,Low,65077.65,30.55,2023-08-12
13511,125,Calibration,Critical,35004.71,35.78,2024-07-14
13512,164,Replacement,Low,75812.46,32.66,2023-07-14
13513,139,Calibration,High,35512.81,7.77,2023-09-10
13514,147,Inspection,Low,62188.55,6.22,2024-01-27
13515,121,Inspection,Low,75409.09,23.08,2024-05-11
13516,50,Replacement,Low,91595.38,12.45,2023-01-28
13517,9,Inspection,Medium,20764.36,38.86,2024-07-22
13518,168,Calibration,Critical,52497.97,31.13,2023-08-26
13519,84,Inspection,Critical,72869.6,43.73,2024-11-27
13520,84,Replacement,Critical,95868.33,61.33,2023-10-03
13521,24,Repair,Low,49200.5,13.8,2023-12-21
13522,148,Calibration,High,87005.46,31.32,2024-01-22
13523,29,Inspection,Low,74118.56,59.13,2023-07-25
13524,70,Inspection,Low,2990.99,13.11,2023-04-21
13525,10,Replacement,Critical,68503.86,51.64,2023-12-23
13526,48,Inspection,High,5396.12,32.45,2024-09-26
13527,42,Inspection,High,64266.29,26.03,2024-09-03
13528,107,Replacement,High,64928.37,39.18,2024-06-01
13529,153,Inspection,High,4476.61,51.76,2023-03-16
13530,77,Inspection,Critical,26139.92,14.59,2024-12-16
13531,141,Repair,High,57739.07,23.58,2024-09-15
13532,154,Calibration,Medium,99444.59,22.12,2024-03-30
13533,66,Inspection,High,3838.75,19.21,2023-01-02
13534,135,Repair,Low,78660.92,19.88,2024-06-17
13535,62,Repair,Critical,32711.47,52.97,2023-04-30
13536,91,Inspection,Medium,68982.96,34.72,2023-01-09
13537,199,Inspection,Critical,43373.99,19.6,2023-04-23
13538,20,Repair,Low,58107.34,55.02,2023-09-19
13539,79,Repair,High,24705.75,56.97,2023-09-25
13540,72,Replacement,High,1143.21,31.91,2023-07-26
13541,185,Calibration,Critical,77898.98,45.75,2024-10-27
13542,86,Calibration,Medium,69039.42,20.89,2023-08-08
13543,60,Replacement,Medium,53431.89,14.98,2024-05-22
13544,6,Replacement,Critical,73988.02,22.82,2024-04-03
13545,16,Calibration,Low,12459.65,5.77,2024-06-07
13546,188,Calibration,Low,54187.71,54.3,2024-10-21
13547,190,Inspection,Medium,70096.81,2.2,2023-03-17
13548,158,Inspection,Low,81963.51,11.72,2024-07-08
13549,184,Repair,Low,50739.22,39.68,2024-04-29
13550,60,Repair,Critical,74560.11,8.46,2024-12-09
13551,79,Replacement,Critical,62469.99,7.59,2023-04-11
